申請編號,執照號數,經營者名單,語音單純轉售服務,非E ．1 6 4 網路電話服務,E ．1 6 4 網路電話服務,批發轉售服務,公司內部網路通信服務,頻寬轉售服務,語音會議服務,網際網路接取服務,存轉網路服務,存取網路服務,視訊會議服務,數據交換通信服務,付費語音資訊服務,行動轉售服務,行動轉售及加值服務
603,5009100025,大台北寬頻網路股份有限公司,,V,,V,,,,V,,,,,,,
608,5009100034,台灣亞太環通海纜股份有限公司,,,,,,V,,,,,,,,,
609,5009100069,英屬維京群島商新基電訊有限公司台灣分公司,V,V,,,V,V,,V,,,,,,,
612,5009100016,寰訊國際股份有限公司,,,,V,,,,,,,,,,,
615,5009100029,天外天有線電視股份有限公司,,,,,,,,V,,,,,,,
616,5009100043,上銀全通電訊股份有限公司,V,V,,,,,,,,,,,,V,
617,5009100046,德士通科技股份有限公司,,,,V,,,,,,,,,,,
622,5009100022,統億電信股份有限公司,,,,V,,,,,,,,,,,
624,5009200020,威通科技有限公司,,,,,,,,,V,,,,,,
625,5009100026,松崗科技股份有限公司,,,,V,,,,,,,,,,,
630,5009100036,甲虫科技股份有限公司,,,,V,,,,,,,,,,,
631,5009100033,捷通電訊股份有限公司,V,,,,,,,,,,,,,,
632,5009100044,新通環宇股份有限公司,V,,,,,V,,V,,,,V,,,
638,5109100039,中華聯合電信股份有限公司,,,,V,,,,,,,,,,,
646,5009100040,光寶匯才資訊服務股份有限公司,,,,,,,,V,,,,,,,
649,5109200001,嘉聯資通股份有限公司,,,,V,,,,,,,,,,,
652,5009300025,國際都會光網通信股份有限公司,,,,,V,,,V,,,,,,,
656,5009200004,創意聯合有限公司,,,,V,,,,,,,,,,,
657,5009100079,鈞通國際有限公司,,,,V,,,,,,,,,,,
659,5109200012,偉傳電訊股份有限公司,V,V,,,,,,,,,,,V,,V
668,5009100081,神通電信科技股份有限公司,,,,V,,,,,,,,,,,
669,5009100062,通航國際電信股份有限公司,,,,V,,,,,,,,,,,
671,5209200034,大台南科技股份有限公司,V,V,,,,,,V,,V,,,,,
675,5009100080,薛丁格有限公司,,,,V,,,,,,,,,,,
681,5009100078,大新店民主有線電視股份有限公司,,,,,,,,V,,,,,,,
683,5009200044,豐譽電信事業股份有限公司,,,,,,,,V,,V,,,,,
684,5009200038,都訊聯合電訊有限公司,V,V,,V,,,,,,,,,,,
687,5009200002,鴻網數位股份有限公司,,,,,,,,V,,,,,,,
5002,5009100083,便利達康股份有限公司,,,,V,,,,,,,,,,,
5019,5009200035,台灣信通網絡有限公司,V,V,,,,V,,,,V,,,,,V
5022,5009200127,和記環球電訊股份有限公司,,,,,,V,,V,,,,,,,
5026,5009200042,三和電訊有限公司,,,,V,,,,,,,,,,,
5028,5009200022,台灣斯普林特電信有限公司,,,,,V,V,,V,,,,V,,,
5029,5009200094,新加坡商都科摩英達特網絡股份有限公司台灣分公司,,,,,,,,V,,,,,,,
5031,5009200037,真茂科技股份有限公司,,,,,,,,V,,,,,,,
5037,5009200059,德訊電訊股份有限公司,V,V,,,,,,,V,,,,,,
5045,5009300038,華勉科技有限公司,,,,V,,,,V,,,,,,,
5046,5009200067,艾德網科技股份有限公司,,,,V,,,,,,,,,V,,
5047,5009200115,三愛科技股份有限公司,V,V,,,,,,,,,,,,,
5049,5009200066,大無畏寬頻股份有限公司,,,,,,,,V,,,,,,,
5050,5009200053,艾奇網路科技有限公司,V,V,,,,,,,,,,,,,
5053,5009200089,艾克斯電訊股份有限公司,V,V,,,,,,,,,,,,,
5062,5009200101,聯保科技股份有限公司,,,,,,,,V,,,,,,,
5066,5009200073,廣聚科技股份有限公司,V,V,,V,,,,,,,,,,,
5076,5009200086,呼風喚雨電訊有限公司,,,,V,,,,,,,,,,,
5086,5009200139,華群科技股份有限公司,,,,,,,V,,,V,V,,V,,
5091,5009200098,京威電信有限公司,,,,V,,,,,,,,,,,
5092,5009200105,互動在綫股份有限公司,,,,,,,,,,,,,V,,
5095,5009600028,安源資訊股份有限公司,,,,,,,,V,V,V,,,V,,
5097,5009200131,雙盈通訊整合股份有限公司,,,,V,,,,,,,,,,,
5106,5009200124,東豐科技股份有限公司,,,,,,V,,V,,V,V,,,,
5110,5009200118,泰富國際網絡股份有限公司,,,,,V,V,,V,,,,,,,
5114,5009300005,寶潤資訊科技有限公司,V,V,,V,,,,,,,,,,,
5115,5009300068,富爾特科技股份有限公司,,,,V,,,,,,,,,,,
5117,5009200141,泛亞通通訊科技股份有限公司,,,,V,,,,,,,,,,,
5120,5009200138,正源科技股份有限公司,,,,,,,,V,,,,,,,
5121,5009300004,臺灣集中保管結算所股份有限公司,,,,,,,,,V,V,,,,,
5122,5009300010,台灣國際纜網通信股份有限公司,V,,,,V,,,V,,,,,,,
5123,5009300032,魯迅科技有限公司,,,,V,,,,,,,,,,,
5124,5009200136,達錡網訊科技股份有限公司,,,,V,,,,,,,,,,,
5127,5009300009,全景電訊股份有限公司,,V,,,,,,,,,,,,,
5128,5009200140,荷登國際有限公司,,,,,,,,,,,,,V,,
5138,5009300007,大景電訊股份有限公司,V,,,,,,,,,,,,,,
5149,5009300037,北亞環球光纖通訊網絡股份有限公司,V,V,,,V,V,,V,,,,,,,
5150,5009300114,華通聯網股份有限公司,V,,,,,,,,,,,,,,
5151,5009300027,僑興資訊股份有限公司,,V,,,,,,,,V,,,,,
5154,5009300034,偉僑股份有限公司,V,V,,,,,,,,,,,,,
5157,5009300040,聲采科技股份有限公司,,,,V,,,,,,,,,,,
5159,5009300023,東陽電訊科技股份有限公司,,,,V,,,,,,,,,,,
5162,5009300035,全網通科技股份有限公司,V,,V,V,,,,,,,,,,,
5169,5009300043,海威寬頻科技股份有限公司,,,,,,,,V,,,,,,,
5170,5009300049,精網資訊股份有限公司,V,V,,,,,,,,,,,,,
5171,5009300072,冠揚科技股份有限公司,V,V,,,,,,,,,,,,,
5172,5009300095,超時代電訊股份有限公司,V,V,,V,,,,,,,,,,,
5175,5009300057,宅急網股份有限公司,,,,,,,,V,,,,,,,
5176,5009300097,大師管理顧問有限公司,,,,V,,,,,,,,,,,
5183,5009300051,芯盛資訊股份有限公司,,,,,,,,,,,,,V,,
5189,5009300063,米瑟奇媒體股份有限公司,,,,V,,,,,,,,,,,
5194,5009300077,亞述電信有限公司,,,,V,,,,,,,,,,,
5195,5009300084,明欣科技網路有限公司,,,,,,,,V,,,,,,,
5197,5009400017,士鑫國際寬頻電信股份有限公司,,,,V,,,,,,,,,,,
5200,5009300075,先博通訊股份有限公司,V,V,,,,,,,,,,,,,
5201,5009300092,倚碩科技股份有限公司,,V,,,,,,V,,,,,,,
5205,5009300078,方陣策略股份有限公司,,,,,,,,,,,,,V,,
5207,5009300079,東鑫電信有限公司,,,,V,,,,,,,,,,,
5212,5009400065,優軟科技股份有限公司,,,,V,,,,,,,,,,,
5216,5009300108,煌碁資訊股份有限公司,,,,V,,,,,,,,,,,
5217,5009300104,中嘉寬頻股份有限公司,,,,,,,,V,,,,,,,
5221,5009400072,標準網絡股份有限公司,V,,,V,,V,,,,,,,,,
5224,5009400060,毅通網絡股份有限公司,V,V,,,,,,,,,,,,,
5225,5009400067,聯信華達網路服務股份有限公司,,V,,,,,,,,,,,,,
5229,5009300110,亞洲標準電訊股份有限公司,,,,V,,,,,,,,,,,
5247,5009300116,尖端電腦有限公司,,,,V,,,,,,,,,,,
5253,5009400020,冠北電信網路科技有限公司,,,,V,,,,,,,,,,,
5257,5009400027,創勝電訊網絡有限公司,,,,V,,,,,,,,,,,
5259,5009400011,芊豐科技有限公司,,,,V,,,,,,,,,,,
5260,5009400016,富績科技有限公司,,V,,V,,,,,,,,,,,
5261,5009400054,昱源科技股份有限公司,,,,V,,,,,,,,,,,
5264,5009400012,聯訊數位資訊股份有限公司,,,,,,,,V,,,,,,,
5266,5009400035,赤玉科技有限公司,,,,V,,,,,,,,,,,
5268,5009400026,滿利科技股份有限公司,,,,V,,,,,,,,,,,
5269,5009400008,新世紀資通股份有限公司,,,,,,,,,,V,,,,,V
5280,5009400062,網鈦科技有限公司,,,,V,,,,,,,,,,,
5281,5009400084,超宇網際網路國際股份有限公司,,,,,,,,V,,,,,,,
5283,5009400066,序宸科技有限公司,,,,V,,,,,,,,,,,
5287,5009800005,台灣固網股份有限公司,,,,,,,,,,V,,,,,V
5292,5009400050,晨富股份有限公司,,,,V,,,,,,,,,,,
5301,5009400059,全球有聲網股份有限公司,,,,V,,,,,,,,,,,
5305,5009400089,上晉電信股份有限公司,,,,V,,,,,,,,,,,
5318,5009400082,永佰科技有限公司,,,,,,,,V,,,,,,,
5319,5009500054,東亞有線電視股份有限公司,,,,,,,,V,,,,,,,
5320,5009400080,泓笙數位股份有限公司,,,,V,,,,,,,,,,,
5321,5009400091,神奇科技股份有限公司,,,,,,,,V,,,,,,,
5323,5009400101,合益電信有限公司,,,,V,,,,,,,,,,,
5324,5009400098,銘儒電腦資訊有限公司,,,,,,,,V,,,,,,,
5329,5009500016,凱擘股份有限公司,,,,,,V,,V,,,,,,,
5331,5009500017,併力科技股份有限公司,,,,,,,,V,,,,,,,
5333,5009500012,普羅通信股份有限公司,,,,V,,,,,,,,,,,
5334,5109500019,佳佑科技有限公司,,,,,,,,,,V,,,V,,
5336,5009500003,冠宏科技服務有限公司,,,,,,,,V,,,,,,,
5337,5009500062,殷富資訊股份有限公司,,,,,,,,,,,,,,V,
5338,5009500044,好消息資訊有限公司,,,,V,,,,,,,,,,,
5339,5009500008,九亨國際有限公司,,,,V,,,,,,,,,,,
5340,5009500010,合昱科技股份有限公司,V,V,,V,,,V,,,V,V,,V,,
5341,5009500011,華偉科技有限公司,,,,,,,,V,,,,,,,
5352,5009500028,願景國際電信股份有限公司,,,,,,V,,V,,,,,,,
5357,5009500022,上禹企業有限公司,,,,V,,,,,,,,,,,
5359,5009500030,科奇資訊網路有限公司,,,,,,,,V,,,,,,,
5366,5009600012,統一超商股份有限公司,,,,,,,,V,,V,,,,,V
5372,5009500045,弘富網通股份有限公司,,,,,,,,V,,,,,,,
5377,5009500032,全虹企業股份有限公司,,,,,,,,,,,,,,V,
5378,5009600043,亞東電信股份有限公司,V,,,,,,,,,,,,,,
5385,5209500056,生活網科技服務有限公司,,,,,,,,V,,,,,,,
5388,5009600018,仲聯國際股份有限公司,,,,V,,V,,,,,,,,,
5391,5009600015,藍洋電訊有限公司,,,,V,,,,,,,,,,,
5400,5009600032,台灣信京電訊股份有限公司,V,V,,V,,,,,,,,,,,
5405,5009600006,元豐昌電信有限公司,,,,V,,,,,,,,,,,
5408,5009600004,弘富寬頻科技股份有限公司,,,,,,,,V,,,,,,,
5409,5009600033,遠東寬頻科技股份有限公司,,,,,,,,V,,,,,,,
5410,5009600025,攸風國際股份有限公司,,,,V,,,,,,,,,,,
5414,5009600019,印堤科技國際有限公司,,,,V,,,,,,,,,,,
5417,5009600031,尚沛資訊有限公司,,,,V,,,,,,,,,,,
5418,5009600021,威揚映像科技有限公司,,,,,,,,V,,,,,,,
5421,5009600024,安源通訊股份有限公司,,,,,,,,V,,,,,,,
5427,5009600038,環球電通股份有限公司,,,,V,,,,,,,,,,,
5428,5009600035,昕癸科技有限公司,,,,V,,,,,,,,,,,
5432,5009600029,荃城有限公司,,,,,,,,V,,,,,,,
5434,5009600034,匯智資訊股份有限公司,,,,,,,,V,,,,,,,
5437,5009600037,力網有限公司,,,,,,,,V,,,,,,,
5438,5009600045,柏客司資訊事業有限公司,,,,,,,,,,,,,V,,
5439,5009600039,冶達科技股份有限公司,,,,V,,,,,,,,,,,
5442,5009700004,侑瑋衛星通訊股份有限公司,,,,,,V,,,,,,,,,
5447,5009600047,乒乓話網股份有限公司,,,,V,,,,,,,,,,,
5448,5009600050,洄瀾有線電視股份有限公司,,,,,,,,V,,,,,,,
5455,5009700010,馬紹爾群島商浩揚網通股份有限公司台灣分公司,,,,V,,,,,,,,,,,
5458,5009700008,臨謙科技股份有限公司,,,,,,,,V,,,,,,,
5459,5009700002,駛達有限公司,,,,,,V,,V,,,,,,,
5460,5009700012,聯鑫網科技有限公司,,,,,,,,V,,,,,,,
5465,5009700018,智信資訊股份有限公司,,,,V,,,,,,,,,,,
5466,5009700019,華楷光電通訊股份有限公司,,,,V,,,,,,,,,,,
5467,5009700036,家樂福電信股份有限公司,,,,,,,,,,V,,,,,V
5468,5009700024,資傳電訊股份有公司,,,,V,,,,,,,,,,,
5469,5009700035,第一線電訊有限公司,,,,,V,V,V,V,,,V,V,,,
5471,5009700037,利合博電訊股份有限公司,,,,V,,,,,,,,,,,
5472,5009700034,群晟數位有限公司,,,,,,,,V,,,,,,,
5477,5009800003,廣龍實業有限公司,,,,,,,,,,V,,,,,
5481,5009800007,安石國際商務顧問股份有限公司,,,,,,,,,V,V,,,,,
5484,5009800008,環球互動網路股份有限公司,,,,,,,,,,,,,V,,
5486,5009700040,通迅科技股份有限公司,,,,V,,,,,,,,,,,
5487,5009700077,海豐工程股份有限公司,,,,,,,,V,,,,,,,
5488,5009700033,光鍵股份有限公司,V,V,,V,,,,,,,,,,,
5491,5009800004,保誠科技股份有限公司,,,,,,V,,V,,V,,,,,
5493,5009700038,汎宇電商股份有限公司,,,,,,,,,,V,,,,,
5494,5009700044,辰通科技股份有限公司,,,,V,,,,,,,,,,,
5495,5009700045,東穎數位科技股份有限公司,,,,,,,,V,,,,,,,
5496,5009700052,宏科聯網股份有限公司,,,,,,,,V,,,,,,,
5497,5009800043,賀威科技股份有限公司,,,,V,,,,,,,,,,,
5499,5009800006,春秋資訊股份有限公司,,,,V,,,,,,,,,,,
5500,5009800009,台灣凱訊電信股份有限公司,,,,,V,,,,,,,,,,
5502,5009800017,御品寬頻科技有限公司,,,,,,,,V,,,,,,,
5505,5009800041,陽立科技有限公司,,,,,,,,,,,,,V,,
5507,5010000002,連科通訊股份有限公司,,V,,,,,,,,,,,,,
5508,5009800036,杰網電訊科技有限公司,,,,V,,,,,,,,,,,
5512,5009800014,台灣新電信股份有限公司,,,,,V,V,V,V,,,,V,,,
5515,5009800042,歐邁電訊股份有限公司,,,,V,,,,,,,,,,,
5516,5009800019,捕夢網數位科技有限公司,,,,,,,,V,,,,,,,
5519,5009800010,迅聯網國際股份有限公司,,,,V,,,,,,,,,,,
5521,5009800020,遠見網絡有限公司,,,,,,,,V,,,,,,,
5522,5009800028,興發資訊有限公司,,,,,,,,V,,,,,,,
5523,5009900008,台灣塔塔通訊有限公司,,,,,V,V,,,,,,,,,
5528,5009800015,豐年資訊事業有限公司,,,,,,,,V,,,,,,,
5529,5009900004,希德國際股份有限公司,,,,,,,,,V,,,,,,
5530,5009800013,欣聖股份有限公司,,,,,,,,V,,,,,,,
5531,5009900001,旭威資訊股份有限公司,,,,,,,,V,,,,,,,
5532,5009900003,泰通科技有限公司,,,,V,,,,,,,,,,,
5533,5010000014,天外天網路科技股份有限公司,,,,,,,,V,,,,,,,
5535,5009900002,佳音網電科技有限公司,,,,V,,,,,,,,,,,
5536,5009900023,台亞衛星通訊股份有限公司,,,,,V,V,,V,,,,,,,
5537,5009900005,創意人資訊股份有限公司,,,,,,,,V,,,,,,,
5538,5009900019,昱訊國際股份有限公司,,,,V,,,,,,,,,,,
5539,5009900010,鉅鐷科技股份有限公司,,,,,,,,V,,,,,,,
5540,5009900021,承豪資訊有限公司,,,,,,,,V,,,,,,,
5542,5009900009,奕信網思有限公司,,,,,,,,V,,,,,,,
5543,5009900007,廣聚綠能科技有限公司,,,,V,,,,,,,,,,,
5546,5009900012,翌騰數位科技有限公司,,,,V,,,,,,,,,,,
5553,5009900017,灃豪科技股份有限公司,,,,V,,,,,,,,,,,
5554,5009900024,臺灣網路認證股份有限公司,,,,,,,,,V,V,,,,,
5557,5009900020,康盛機電有限公司,,,,,,,,V,,,,,,,
5558,5010000006,享銘科技有限公司,,,,,,,,V,,,,,,,
5559,5009900025,冠暘光電科技有限公司,,,,V,,,,,,,,,,,
5560,5010000007,宏達網通科技有限公司,,,,,,,,V,,,,,,,
5561,5009900022,聯恆數位資訊有限公司,,,,,,,,V,,,,,,,
5563,5010000009,翰樺電信有限公司,,,,V,,,,,,,,,,,
5564,5010000004,立鏵企業股份有限公司,,,,V,,,,,,,,,,,
5566,5010000003,二三五網路,,,,,,,,V,,,,,,,
5567,5010000008,安立資訊有限公司,,,,V,,,,,,,,,,,
5568,5010200001,菲特科技股份有限公司,V,V,,,,,,,,,,,,,
5569,5010000010,第一網通科技有限公司,,,,,,,,V,,,,,,,
5570,5010000017,亞洲第一電訊有限公司,,,,V,,,,,,,,,,,
5571,5010000011,利穎科技股份有限公司,,,,,,,,V,,,,,,,
5572,5010000015,亞立碼通訊科技有限公司,,,,V,,,,,,,,,,,
5573,5010000013,鴻網有限公司,,,,,,,,V,,,,,,,
5574,5010000012,亞大全球股份有限公司,,,,V,,,,,,,,,,,
5575,5010000018,佳得股份有限公司,,,,V,,,,,,,,,,,
5577,5010000020,凱勝電訊有限公司,,,,V,,,,,,,,,,,
5578,5010000019,宏享資訊服務有限公司,,,,V,,,,,,,,,,,
5579,5010000025,台傳科技有限公司,,,,V,,,,,,,,,,,
5580,5010000024,威寶電信股份有限公司,V,,,,,,,V,,,,,,,
5582,5010000023,台灣海盟數位有限公司,,,,,,,,V,,,,,,,
5583,5010100005,神通資訊科技股份有限公司,,,,,,,,V,,,,,,,
5584,5010100001,新北市寬頻科技有限公司,,,,,,,,V,,,,,,,
5585,5010100004,原神鳥網路科技有限公司,,,,,,,,V,,,,,,,
5586,5010100009,優像數位媒體科技股份有限公司,,,,,,,,V,,,,,,,
5588,5010100007,鈊象科技有限公司,,,,,,,,V,,,,,,,
5589,5010100006,訊偉電信科技有限公司,,,,V,,,,,,,,,,,
5590,5010100008,立喬數位國際有限公司,,,,,,,,V,,,,,,,
5591,5010100011,易聯數位科技股份有限公司,,,,,,,,V,,,,,,,
5592,5010100010,群揚資通有限公司,,,,,,,,V,,,,,,,
5593,5010100012,永達網股份有限公司,,,,,,,,V,,,,,,,
5594,5010200005,興邦資訊有限公司,,,,V,,,,,,,,,,,
5595,5010100014,聯閤科技股份有限公司,,,,V,,,,V,,,,,,,
5596,5010100013,銓鍇國際有限公司,,,,,,,,V,,,,,,,
5597,5010100016,台灣迅通網路服務有限公司,,,,V,,,,,,,,V,,,
5598,5010200012,澳大利亞商澳電電信國際股份有限公司台灣分公司,,,,,V,,,V,,,,,,,
5599,5010100017,禦騰科技有限公司,,,,,,,,V,,,,,,,
5600,5010100015,遠振資訊有限公司,,,,,,,,V,,,,,,,
5601,5010200010,雲達科技股份有限公司,,,,,,,,V,,,,,,,
5602,5010200009,宸翔實業有限公司,,,,,,,,V,,,,,,,
5603,5010200003,崇遠股份有限公司,,,,V,,,,,,,,,,,
5604,5010200006,和信超媒體雲端服務股份有限公司,,,,V,,,,,,,,,,,
5605,5010200004,光璟資通股份有限公司,,,,,,,,V,,,,,,,
5606,5010200008,網美科技股份有限公司,,,,,,,,V,,,,,,,
5607,5010200007,家州資訊有限公司,,,,,,,,V,,,,,,,
5609,5010200011,拓雲國際網路有限公司,,,,,,,,V,,,,,,,
5610,5010200015,和穗實業有限公司,,,,,,,,V,,,,,,,
5611,5010200013,全球數位通有限公司,,,,V,,,,,,,,,,,
5612,5010200017,鋐捷科技股份有限公司,,,,,,,,V,,,,,,,
5613,5010200016,齊宏企業社,,,,,,,,V,,,,,,,
5614,5010200019,祥網實業有限公司,,,,V,,,,,,,,,,,
5615,5010200018,銓貿資訊科技有限公司,,,,,,,,V,,,,,,,
5616,5010200020,亞訊股份有限公司,,,,,,,,V,,,,,,,
5618,5010200021,矽京科技有限公司,,,,,,,,V,,,,,,,
5619,5010300001,弘通國際寬頻電信有限公司,,,,V,,,,,,,,,,,
6002,5109200070,三大有線電視股份有限公司,,,,,,,,V,,,,,,,
6007,5009200063,中華聯網寬頻股份有限公司,V,,,V,,,,V,,,,,,V,
6014,5109200102,合威語音科技企業有限公司,,,,,,,,,,,,,V,,
6016,5109200092,協辰電信股份有限公司,,,,V,,,,,,,,,,,
6021,5109300003,隆達電信有限公司,,,,V,,,,,,,,,,,
6022,4109300012,兆達電訊科技有限公司,,,,V,,,,,,,,,,,
6034,5109400055,倍穎資訊股份有限公司,V,V,,,,,,,,,,,,,
6035,5109300065,威達雲端電訊股份有限公司,,,,,,,,V,V,V,,,,,
6050,4109400066,好站網控電子商務有限公司,,,,,,,,V,,,,,,,
6052,5209400029,新世技國際有限公司,,,,V,,,,,,,,,,,
6055,5009400063,歐鵬寬頻科技股份有限公司,,,,,,V,,,,,,,,,
6056,5109400097,大東海速頻科技股份有限公司,,,,,,V,,,,,,,,,
6062,5009400094,泰通電信通訊行,V,V,,,,,V,,,V,V,,V,,
6063,5109500009,暉捷數位科技股份有限公司,,,,V,,V,,V,,,,,,,
6066,5109500024,速達通有限公司,,,,V,,,,V,,,,,,,
