申請編號,執照號數,經營者名單,語音單純轉售服務,非E ．1 6 4 網路電話服務,E ．1 6 4 網路電話服務,批發轉售服務,公司內部網路通信服務,頻寬轉售服務,語音會議服務,網際網路接取服務,存轉網路服務,存取網路服務,視訊會議服務,數據交換通信服務,付費語音資訊服務,行動轉售服務,行動轉售及加值服務
6067,5109600028,亨通語音科技有限公司,,,,V,,,,,,,,,V,,
6074,5109500050,萊優事業有限公司,,,,V,,,,,,,,,,,
6077,5109500061,天翔通信有限公司,,,,V,,,,,,,,,,,
6081,5009700006,米卡資訊有限公司,,,,,,,,V,,,,,,,
6085,5009700017,金大業國際企業股份有限公司,,,,V,,,,,,,,,,,
6087,5109700031,奇樂國際事業有限公司,,,,,,,,,,,,,V,,
6089,5109700050,居安科技國際有限公司,,,,V,,,,,,,,,,,
6091,5109800032,豐穗國際股份有限公司,,,,V,,,,,,,,,,,
6094,5109900001,立誠電腦資訊有限公司,,,,,,,,V,,,,,,,
6096,5109900002,洋基電信股份有限公司,,,,,,,,V,,,,,,,
6097,5110000001,磐石寬頻聯網系統整合股份有限公司,,,,,,,,V,,,,,,,
6098,5110000002,定位傳媒有限公司,,,,V,,,,,,,,,,,
6099,5110100003,樂網企業社,,,,,,,,V,,,,,,,
6100,5110100001,優懋網電科技股份有限公司,,,,V,,,,,,,,,,,
6101,5110100002,世界通國際整合行銷有限公司,,,,,,,,V,,,,,,,
6102,5110100004,愛卡國際股份有限公司,,,,V,,,,,,,,,,,
6103,5110100005,嘉荷路司有限公司,,,,,,,,V,,,,,,,
6104,5110100006,傑勝網路資訊企業社,,,,,,,,V,,,,,,,
6105,5110100007,捷威興業有限公司,,,,,,,,,,,,,V,,
6108,5110200003,華鈺光纖科技有限公司,,,,,,,,V,,,,,,,
6109,5110200005,捷一資訊服務股份有限公司,,,,,,,,V,,,,,,,
6110,5110300001,和勝網路科技有限公司,,,,,,,,V,,,,,,,
8002,5209100074,訊南科技股份有限公司,,,,,,,,V,,,,,,,
8005,5209200088,新永安有線電視股份有限公司,,,,,,,,V,,,,,,,
