A	01	011	0111	稻作栽培業	從事稻米栽培之行業。
A	01	011	0112	雜糧栽培業	從事雜糧作物栽培之行業，如麥類、玉米、高粱、紅豆、甘藷、落花生等栽培。
A	01	011	0113	特用作物栽培業	從事纖維料、油料、嗜好料、香料、藥料及糖料等特用作物（主要供加工製造用之農產原料作物）栽培之行業，如大甲藺、芝麻、油茶、向日葵、茶、咖啡、菸草、胡椒、茴香、當歸、枸杞、山藥、甜菜、甘蔗等栽培。牧草、桑樹及綠肥作物栽培亦歸入本類。
A	01	011	0114	蔬菜栽培業	從事根菜類、莖菜類、葉菜類、花菜類、果菜類、芽苗類等蔬菜栽培之行業，如蘿蔔、胡蘿蔔、馬鈴薯、芋、洋蔥、韭類、竹筍、蘆筍、茭白筍、芥菜、甕菜、芹菜、白菜、甘藍、花椰菜、金針菜、胡瓜、冬瓜、苦瓜、茄子、蕃茄、番椒、菜豆、豌豆、玉米筍等栽培。生鮮用香、辛料之栽培亦歸入本類，如薑、蔥、蒜等栽培。
A	01	011	0115	果樹栽培業	從事水果及乾果栽培而以收穫其果實為目的之行業，如柑桔類、荔枝、龍眼、桃、李、梨、木瓜、芒果、棗、葡萄、鳳梨、香蕉、胡桃、栗、椰子、橄欖、檳榔等栽培。
A	01	011	0116	食用菌菇類栽培業	從事食用菌菇類栽培及其菌種培育之行業，如香菇、洋菇、木耳等栽培。
A	01	011	0117	花卉栽培業	從事花卉栽培之行業，如盆花植物、切花植物等栽培。觀葉植物及盆景栽培亦歸入本類。
A	01	011	0119	其他農作物栽培業	從事0111至0117細類以外農作物栽培之行業，如種苗培育、草皮栽培、庭園樹木栽培等。
A	01	012	0121	牛飼育業	從事牛隻飼育之行業。
A	01	012	0122	豬飼育業	從事豬隻飼育之行業。
A	01	012	0123	雞飼育業	從事雞隻飼育之行業。
A	01	012	0124	鴨飼育業	從事鴨隻飼育之行業。
A	01	012	0129	其他畜牧業	從事0121至0124細類以外畜牧之行業，如羊、馬、鹿、鵝、火雞、狗、貓、蠶、蜂等飼育。蚯蚓及蝸牛養殖亦歸入本類。
A	01	013	0131	作物栽培服務業	從事作物之種植、栽培、保護、採收等服務之行業，如農地耕整、病蟲害防治、鼠害防除、農作物噴藥、土壤處理及施肥、作物採收等機器或人力操作。
A	01	013	0132	作物採收後處理業	從事作物採收後未銷售前初步處理之行業。
A	01	013	0133	畜牧服務業	從事畜牧服務之行業，如家禽孵育、家畜剪毛、家畜禽配種、蛋類選洗包裝等。寵物配種亦歸入本類。
A	01	013	0139	其他農事服務業	從事0131至0133細類以外農事服務之行業，如農藥調配、農工徵集與管理、農田給水灌溉與排水管理等。
A	02	021	0210	造林業	從事林木、竹林之育苗、移植、種植、保護、管理等行業。
A	02	022	0221	伐木業	從事木竹之砍伐、剝皮、切斷等初步處理，生產幹木、圓段、粗劈材等，以及利用索道、溜槽、溪流等集運材木之行業。在林地以簡易炭窯燒製木（竹）炭亦歸入本類。
A	02	022	0222	野生物採捕業	從事林區野生物採捕之行業，如野菌菇、樹脂、果實、堅果、苔蘚等採集及動物、昆蟲捕捉。
A	03	031	0311	海洋漁業	在遠洋、近海及沿岸從事水產生物採捕之行業。
A	03	031	0312	內陸漁撈業	在湖泊、河川、水庫等內陸水域從事水產生物採捕之行業。
A	03	032	0321	海面養殖業	在海面從事水產生物繁殖或飼養之行業。
A	03	032	0322	內陸養殖業	在內陸從事水產生物繁殖或飼養之行業。
B	05	050	0500	石油及天然氣礦業	從事石油及天然氣之探勘、採取、初步處理及準備作業等行業。從事油頁岩或瀝青砂開採、油田或天然氣田生產之碳氫化合物中分離提取液態烴，以及油氣井設備安裝服務亦歸入本類。
B	06	060	0600	砂、石及黏土採取業	從事砂、石及黏土之探勘、採取、初步處理及準備作業等行業，如大理石、石灰石、蛇紋石、花崗岩、砂岩、石膏等可供建築用材及砂（含矽砂）、礫、黏土、瓷土等採取。
B	07	070	0700	其他礦業及土石採取業	從事0500及0600細類以外礦業及土石之探勘、採取、初步處理及準備作業等行業，如煤、金屬礦、鹽、雲母、硫磺、水晶等採取。
C	08	081	0811	屠宰業	從事禽畜之屠宰、解體與分裝之行業。
C	08	081	0812	冷凍冷藏肉類製造業	從事冷凍冷藏肉類製造之行業。
C	08	081	0813	肉品製造業	從事肉類乾製、醃製或燻製等處理之行業，如香腸、火腿等製造。
C	08	082	0821	冷凍冷藏水產製造業	從事冷凍冷藏水產製造之行業。
C	08	082	0822	水產品製造業	從事水產乾製、醃製、燻製、鹽漬等處理之行業，如魚片、魚子、魚子醬、魚粉等製造。
