3	313	自行車及其零件製造業
3	319	未分類其他運輸工具及其零件製造業
3	321	非金屬家具製造業
3	322	金屬家具製造業
3	331	育樂用品製造業
3	332	醫療器材及用品製造業
3	339	未分類其他製造業
3	340	產業用機械設備維修及安裝業
3	351	電力供應業
3	352	氣體燃料供應業
3	353	蒸汽供應業
3	360	用水供應業
3	370	廢（污）水處理業
3	381	廢棄物清除業
3	382	廢棄物處理業
3	383	資源回收處理業
3	390	污染整治業
3	410	建築工程業
3	421	道路工程業
3	422	公用事業設施工程業
3	429	其他土木工程業
3	431	整地、基礎及結構工程業
3	432	庭園景觀工程業
3	433	機電、管道及其他建築設備安裝業
3	434	最後修整工程業
3	439	其他專門營造業
3	451	商品經紀業
3	452	綜合商品批發業
3	453	農產原料及活動物批發業
3	454	食品、飲料及菸草製品批發業
3	455	布疋及服飾品批發業
3	456	家庭器具及用品批發業
3	457	藥品、醫療用品及化粧品批發業
3	458	文教、育樂用品批發業
3	461	建材批發業
3	462	化學材料及其製品批發業
3	463	燃料及相關產品批發業
3	464	機械器具批發業
3	465	汽機車及其零配件、用品批發業
3	469	其他專賣批發業
3	471	綜合商品零售業
3	472	食品、飲料及菸草製品零售業
3	473	布疋及服飾品零售業
3	474	家庭器具及用品零售業
3	475	藥品、醫療用品及化粧品零售業
3	476	文教、育樂用品零售業
3	481	建材零售業
3	482	燃料零售業
3	483	資訊及通訊設備零售業
3	484	汽機車及其零配件、用品零售業
3	485	其他專賣零售業
3	486	零售攤販業
3	487	其他無店面零售業
3	491	鐵路運輸業
3	492	大眾捷運系統運輸業
3	493	汽車客運業
3	494	汽車貨運業
3	499	其他陸上運輸業
3	501	海洋水運業
3	502	內河及湖泊水運業
3	510	航空運輸業
3	521	報關業
3	522	船務代理業
3	523	貨運承攬業
3	524	陸上運輸輔助業
3	525	水上運輸輔助業
3	526	航空運輸輔助業
3	529	其他運輸輔助業
3	530	倉儲業
3	541	郵政業
3	542	快遞服務業
3	551	短期住宿服務業
3	559	其他住宿服務業
3	561	餐館業
3	562	飲料店業
3	563	餐飲攤販業
3	569	其他餐飲業
3	581	新聞、雜誌（期刊）、書籍及其他出版業
3	582	軟體出版業
3	591	影片服務業
3	592	聲音錄製及音樂出版業
3	601	廣播業
3	602	電視傳播及付費節目播送業
3	610	電信業
3	620	電腦系統設計服務業
3	631	入口網站經營、資料處理、網站代管及相關服務業
3	639	其他資訊供應服務業
3	641	存款機構
3	642	金融控股業
3	643	信託、基金及其他金融工具
3	649	其他金融中介業
3	651	人身保險業
3	652	財產保險業
3	653	再保險業
3	654	退休基金
3	655	保險及退休基金輔助業
3	661	證券業
3	662	期貨業
3	663	金融輔助業
3	664	基金管理業
3	670	不動產開發業
3	681	不動產經營業
3	689	其他不動產業
3	691	法律服務業
3	692	會計服務業
3	701	企業總管理機構
3	702	管理顧問業
3	711	建築、工程服務及相關技術顧問業
3	712	技術檢測及分析服務業
3	721	自然及工程科學研究發展服務業
3	722	社會及人文科學研究發展服務業
3	723	綜合研究發展服務業
3	731	廣告業
3	732	市場研究及民意調查業
3	740	專門設計服務業
3	750	獸醫服務業
3	760	其他專業、科學及技術服務業
3	771	機械設備租賃業
3	772	運輸工具設備租賃業
3	773	個人及家庭用品租賃業
3	774	非金融性無形資產租賃業
3	781	人力仲介業
3	782	人力供應業
3	790	旅行及相關代訂服務業
3	800	保全及私家偵探服務業
3	811	複合支援服務業
3	812	清潔服務業
3	813	綠化服務業
3	820	業務及辦公室支援服務業
3	831	公共行政業
3	832	國防事務業
3	833	強制性社會安全
3	840	國際組織及外國機構
3	851	學前教育事業
3	852	小學
3	853	中學
3	854	職業學校
3	855	大專校院
3	856	特殊教育學校
3	857	其他教育服務業
3	858	教育輔助服務業
3	861	醫院
3	862	診所
3	869	其他醫療保健服務業
3	870	居住型照顧服務業
3	880	其他社會工作服務業
3	901	創作業
3	902	藝術表演業
3	903	藝術表演輔助服務業
3	910	圖書館、檔案保存、博物館及類似機構
3	920	博弈業
3	931	運動服務業
3	932	娛樂及休閒服務業
3	941	宗教組織
3	942	職業團體
3	949	其他組織
3	951	汽車維修及美容業
3	952	電腦、通訊傳播設備及電子產品修理業
3	959	其他個人及家庭用品維修業
3	961	洗衣業
3	962	美髮及美容美體業
3	963	殯葬服務業
3	964	家事服務業
3	969	其他個人服務業
4	0111	稻作栽培業
4	0112	雜糧栽培業
4	0113	特用作物栽培業
4	0114	蔬菜栽培業
